序号,网页名字,网址,网页介绍,标签1,标签2,标签3,标签4,一级分类,二级分类
164,Yandex俄罗斯搜索,https://yandex.com/,俄罗斯最大搜索引擎，图像识别能力强，可以识别搜索人脸,俄罗斯搜索,图像识别,人脸搜索,,其他网站收藏,搜索引擎
165,Kagi高质量搜索,https://kagi.com/,付费高质量搜索引擎，无广告无追踪，搜索结果更准确,高质量搜索,无广告,隐私保护,,其他网站收藏,搜索引擎
166,Exa AI搜索,https://exa.ai/,AI驱动的语义搜索引擎，通过含义而非关键词找到最相关内容,AI搜索,语义搜索,智能检索,,其他网站收藏,搜索引擎
167,IPTV直播源工具,https://iptv.hacks.tools/,IPTV直播源订阅工具，提供全球各地电视频道直播源整合,IPTV直播,电视频道,直播源,,影视音乐游戏,在线直播
168,电视盒子TVBox,https://github.com/youhunwl/TVAPP,Android电视盒子应用与直播源整合项目，开源免费使用,TVBox,电视盒子,开源应用,,影视音乐游戏,在线直播
169,奇点资源聚合,https://qidianku.com/,各类精品资源聚合导航站，汇集网络上优质内容推荐,资源聚合,导航站,精品推荐,,其他网站收藏,导航聚合
170,享分享资源社区,https://xiangleshare.com/,分享生活中发现的优质网络资源与实用工具推荐社区,资源分享,社区推荐,实用工具,,其他网站收藏,导航聚合
171,GitHub开源仓库,https://github.com/,全球最大开源项目托管平台，汇集数百万开源代码仓库,开源代码,代码托管,开发社区,,开源项目展示,开源平台
172,程序员考公指南,https://github.com/coder2gwy/coder2gwy,互联网首份程序员考公指南，由3位前大厂程序员联合撰写,程序员,考公指南,开源文档,,教育资源汇总,考公考研
173,Workout Cool健身,https://workout.cool/,现代化开源健身计划平台，支持多语言的免费健身训练工具,健身平台,开源,健康运动,,开源项目展示,开源平台
174,证件照在线制作,https://id-photo.cn/,证件照大师，在线一键制作各规格证件照，支持换背景色,证件照,在线制作,换底色,,其他网站收藏,图片工具
175,草料二维码生成,https://cli.im/,专业在线二维码生成器，支持文字URL名片等多种内容类型,二维码,在线生成,专业工具,,其他网站收藏,图片工具
176,LazyPic图片工具箱,https://pic.lazyso.com/,本地极速处理图片的工具箱，隐私安全，无需上传服务器,图片处理,本地运行,隐私安全,,其他网站收藏,图片工具
177,在线抠图免费,https://ezpic.fun/zh,在线免费AI抠图去除图片背景，一键实现高精度背景移除,AI抠图,去背景,免费工具,,其他网站收藏,图片工具
178,白描OCR识别,https://web.baimiaoapp.com/,在线OCR文字识别工具，支持多国语言的图片转文字服务,OCR识别,图片转文字,多语言支持,,其他网站收藏,图片工具
179,中国色传统颜色,https://zhongguose.com/,收录中国传统色彩的颜色代码库，含颜色名称与RGB/HEX值,中国传统色,颜色代码,设计参考,,设计素材模板,配色工具
180,haveibeenpwned,https://haveibeenpwned.com/,查询邮箱账号是否在数据泄露事件中被泄露的安全检测工具,账号安全,数据泄露,隐私检测,,其他网站收藏,隐私安全
181,IP纯净度检测,https://ippure.com/,IP地址信息与纯净度检测工具，查询IP归属地与安全状态,IP检测,网络安全,纯净度查询,,其他网站收藏,隐私安全
182,KMS系统激活,https://kms.cx/,一键激活Windows系统和Office软件的KMS激活工具网站,KMS激活,Windows激活,Office激活,,软件下载网站,系统工具
183,SimilarSites类似网站,https://similarsites.com/,输入网站链接找到类似网站的推荐工具，发现同类优质网站,类似网站,网站发现,网络导航,,其他网站收藏,导航聚合
184,秘塔AI搜索,https://metaso.cn/,AI驱动的智能搜索引擎，提供结构化搜索结果与深度分析,AI搜索,智能搜索,深度分析,,其他网站收藏,搜索引擎
185,GIF动图搜索GIPHY,https://giphy.com/,全球最大GIF动图搜索引擎，海量表情包与动画素材免费使用,GIF搜索,动图素材,表情包,,设计素材模板,图标图片
186,深言达意找词,https://shenyandayi.com/mobile,用于寻找贴切词语和句子的语言工具，输入感觉找到精准表达,找词造句,语言工具,精准表达,,其他网站收藏,实用工具
187,Bypass抢票,https://www.bypass.cn/,火车票智能分流抢票服务，通过候补购票提高抢票成功率,抢票工具,火车票,候补购票,,其他网站收藏,实用工具
188,实时线报羊毛,https://www.906k.cn/,实时分享最快最全的一手活动羊毛资讯，薅羊毛必看线报站,线报活动,羊毛资讯,优惠活动,,其他网站收藏,优惠福利
189,App全球最低价,https://appstoreprice.org/zh,发现全球App Store最低价格的工具，汇率换算帮你省钱购应用,App低价,全球比价,省钱工具,,其他网站收藏,优惠福利
190,Versus万物对比,https://versus.com/cn,万物皆可对比的产品参数比较平台，覆盖手机电脑家电等,产品对比,参数比较,选购助手,,其他网站收藏,优惠福利
191,书源搜索引擎,https://shuyuan.yiove.com/,专注阅读APP书源搜索与分享，覆盖各类网络小说书源,书源搜索,阅读APP,小说书源,,其他网站收藏,导航聚合
192,Grep代码搜索,https://grep.app/,在GitHub上进行代码搜索的专业工具，快速定位开源代码片段,代码搜索,GitHub,开发工具,,开源项目展示,开发工具
193,BugMeNot免费账号,https://bugmenot.com/,提供各网站共享登录账号的数据库，避免注册直接使用,共享账号,免注册,登录助手,,其他网站收藏,实用工具
194,颜色生成器Kigen,https://kigen.design/color,一键打造专业级设计系统配色方案的颜色生成器工具,配色方案,颜色生成,设计系统,,设计素材模板,配色工具
195,HumanizeAI人性化,https://www.humanizeaiwork.com/,将AI生成文本转换为100%自然人类文本的内容优化工具,AI内容优化,文本人性化,写作工具,,开源项目展示,AI工具
196,大模型API中转,https://uiuiapi.com/,AI大模型API一站式聚合平台，接入OpenAI、Claude等主流API,API中转,大模型接入,开发服务,,开源项目展示,AI工具
